Carry (yds),Total (yds),Carry Side,Curve
154.5,162.5,"7'5""L","5'1""L"
156.7,164.4,"11""R","14'5""L"
154,161.9,"2'3""R","3'11""L"
140.3,147.7,"45'10""R","22'10""R"
151.5,159.6,"26'6""R","3'1""R"
150.6,158.8,"10'8""R",4'L
156.7,164.9,"6""R","11'8""L"
153.8,161.2,"10'1""R","6'3""L"
154.2,163.7,"3'7""R","9'6""L"
153.9,161.8,"4'2""R",12'L
151.7,159.9,"11'8""R",9'R
152.9,160.1,"18'10""R","2'1""L"
150.4,157.4,"18'8""R","3'11""L"
155.7,164.5,"17'2""L","24'4""L"
157.8,165.8,"1'4""R","21'5""L"
145.7,152.8,"56'8""R","12'3""R"
158,168.2,"32'8""L","40'8""L"
156.8,165.3,"3'1""L","25'10""L"
138,150.5,"28'1""L","30'1""L"
154.3,161.4,"10'3""R","8'3""L"
155.9,163.4,"2'11""R","7'2""L"
158.1,165.4,"20'8""R",10'L
150.7,158.4,9'L,"15'11""L"
147.3,156.2,"6""L","15'8""L"
135.6,154.2,"28'3""R","13'3""R"
157.5,166.5,"28'5""L","26'2""L"
160.3,169.6,"29'2""L","21'9""L"
142.9,151.5,"26'6""R","13'5""R"
150.8,159.3,"1'8""R","3'3""R"
159.9,170.1,"68'4""L","49'9""L"
156.8,165.5,"19'7""R","15'6""L"
157.1,165.8,"43'3""L","31'3""L"
151.9,160.8,"12'8""L","16'6""L"
147.4,157.9,"27'4""R","8'3""R"
156.5,169.1,"32'6""L","31'3""L"
155.2,163.2,"15'4""L","23'10""L"
157.5,165.5,"5'4""L","11'3""L"
150,158,13'L,"12'7""L"
151.4,160.3,"9'11""L","3'4""L"
153.2,160.4,"1'2""L","3'4""L"
152,160.5,"2'1""L","14'1""L"
151.9,159.8,"6'8""R","2'10""L"
151.6,160.9,"42'3""L","26'9""L"
